product_name,alcohol_percentage
chateau-leoube-love-by-leoubec,13.0
stormhoek-cabernet-sauvignon-merlot,13.0
jacob-s-creek-cabernet-sauvignon,13.0
picpoul-de-pinet-les-mouginels,13.0
ah-malbec,13.0
lindeman-s-bin-35-rose,13.0
finca-valdepiedra-cantos-de-valpiedra-rioja-crianza,13.0
vina-mayor-rueda-verdejo,13.0
settesoli-nero-d-avola,13.0
marques-de-grinon-rueda-verdejo,13.0
ah-sauvignon-blanc,13.0
argento-minimalista-malbec,13.0
chateau-tapie-languedoc,13.0
dom-de-l-amaurigue-rose,13.0
ah-excellent-selectie-cotes-de-provence-rose,13.0
georges-duboeuf-beaujolais-villages,13.0
ah-merlot,13.0
norton-coleccion-torrontes,13.0
ah-biologisch-sauvignon-blanc,13.0
le-chant-de-la-vigne-pouilly-fume,13.0
be-bio-chardonnay,13.0
cono-sur-bicicleta-merlot,13.0
ulisse-pecorino-terre-di-chieti,13.0
gabriel-meffre-cotes-du-rhone-villages-st-siffrein,13.0
undurraga-carmenere,13.0
ah-pinotage-rose,13.0
ah-excellent-selectie-rueda-palacio-del-almirante,13.0
graves-superieures-blanc,13.0
stormhoek-chardonnay-viognier,13.0
gort-en-gort-bordeaux-superieur,13.0
sauvignon-moldavie-moldavi-sauvignon-blanc,13.0
wild-pig-viognier,13.0
ah-excellent-grand-vin-de-bordeaux,13.0
fat-bastard-merlot,13.0
vinas-del-vero-luces-rosado,13.0
la-tulipe-merlot,13.0
chateau-de-bon-ami-bordeaux,13.0
sella-en-mosca-raim-cannonau,13.0
nicolas-carlin-sancerre,13.0
ulisse-rose,13.0
el-veloz-cabernet-sauvigon,13.0
ah-pinot-grigio,13.0
midi-par-mas-orange-organic,13.0
ah-biologisch-merlot,13.0
gort-en-gort-bordogne-pinot-noir,13.0
bascarlon-rueda-verdejo,13.0
santa-julia-organic-chardonnay,13.2
welmoed-chardonnay,13.24
welmoed-cabernet-sauvignon,13.33
the-big-chill-chardonnay,13.5
rawson-s-retreat-merlot,13.5
19-crimes-red-blend,13.5
norton-coleccion-merlot,13.5
mesta-garnacha,13.5
rustenberg-shiraz-carbernet-merlot,13.5
porcupine-ridge-chenin,13.5
fontanafredda-langhe-nebbiolo,13.5
moncaro-verde-carupta-verdicchio,13.5
georges-duboeuf-fleurie,13.5
aliwen-cabernet-sauvignon-carmenere-reserva,13.5
undurraga-chardonnay-reserva,13.5
zuccardi-brazos-chardonnay,13.5
casillero-del-diablo-viognier,13.5
norton-coleccion-malbec,13.5
lindeman-s-south-africa-shiraz-cabernet,13.5
el-maestro-tinto,13.5
chateau-coulon-organic-wine,13.5
santa-julia-el-cabrito-cabernet-sauvignon-naturel,13.5
grange-de-malivet-chardonnay-wooded,13.5
christophe-cordier-pouilly-fuiss,13.5
brancott-estate-letter-series-sauvignon-blanc,13.5
